Iteration	Posterior	Likelihood	Prior	beta_scale	neo_matrix_probs[1]	neo_matrix_probs[2]	neo_matrix_probs[3]	neo_matrix_probs[4]	rate_log_sd	tree_length	two_matrix_probs[1]	two_matrix_probs[2]	two_matrix_probs[3]	two_matrix_probs[4]
240	-126.1872	-390.1944	264.0072	13.56902	0.300224	0.46295	0.0579591	0.178867	1.691878	1.193147	0.290769	0.0255473	0.549415	0.134269
246	-114.4155	-379.7349	265.3194	7.004418	0.176227	0.258306	0.0150354	0.550432	1.851162	1.420824	0.401021	0.147479	0.281626	0.169874
252	-108.832	-374.6372	265.8052	5.329839	0.598448	0.165476	0.0158374	0.220238	1.851558	1.530744	0.461675	0.266586	0.197918	0.073821
258	-108.6546	-374.8611	266.2065	5.329839	0.120436	0.0389213	0.00318724	0.837456	1.621594	1.400724	0.298834	0.385319	0.286068	0.0297788
264	-111.9209	-379.3149	267.3939	3.343808	0.683626	0.0140134	0.000838798	0.301522	1.668953	1.169453	0.0283979	0.182033	0.77818	0.0113887
270	-110.3843	-378.1323	267.7481	2.843993	0.387392	0.439869	0.000476589	0.172262	1.786256	1.004919	0.397269	0.474609	0.121882	0.00623992
276	-107.8512	-375.5678	267.7166	2.843993	0.515859	0.256245	0.000550961	0.227345	1.745335	1.074608	0.195159	0.283032	0.518088	0.00372116
282	-103.252	-372.283	269.0309	1.159194	0.133345	0.423196	0.000361165	0.443097	1.863098	0.9278508	0.031303	0.478092	0.484087	0.00651795
288	-111.9882	-378.4617	266.4735	5.60248	0.317415	0.149093	0.00476148	0.52873	1.924836	0.7428093	0.106913	0.482526	0.407332	0.00322954
294	-118.4666	-384.1373	265.6708	7.141407	0.320813	0.403916	0.0128996	0.262371	2.103975	0.8212519	0.210603	0.378001	0.396879	0.0145173
300	-112.1273	-380.6824	268.5552	0.4285939	0.36217	0.347456	0.258325	0.0320488	1.434954	2.177811	0.132414	0.384909	0.45843	0.0242477
306	-120.0322	-385.2938	265.2616	3.953326	0.0863428	0.63642	0.114625	0.162612	1.160636	2.756457	0.451834	0.33759	0.133963	0.0766136
312	-111.8368	-375.8963	264.0595	3.958197	0.0794153	0.489045	0.0370229	0.394516	0.9340627	3.603528	0.722549	0.160299	0.105909	0.0112425
318	-108.2596	-374.8613	266.6017	2.376382	0.460404	0.0398871	0.0623799	0.437329	1.283408	2.421201	0.608336	0.14447	0.237062	0.0101323
324	-105.5852	-364.4239	258.8387	18.42144	0.107061	0.040629	0.406846	0.445464	1.077502	4.262607	0.165865	0.509618	0.318478	0.00603858
330	-101.3014	-369.6634	268.362	1.311162	0.526598	0.0135328	0.104778	0.355091	1.642523	1.562111	0.0343418	0.836832	0.0429066	0.0859192
336	-111.5979	-376.6693	265.0713	5.651519	0.524597	0.0153431	0.104822	0.355238	1.654662	2.085261	0.102768	0.751947	0.0315042	0.11378
342	-127.5868	-393.7909	266.2042	3.511701	0.273728	0.0133319	0.0852542	0.627686	1.372312	2.176997	0.0336346	0.547435	0.0423955	0.376534
