Iteration	Posterior	Likelihood	Prior	beta_scale	neo_matrix_probs[1]	neo_matrix_probs[2]	neo_matrix_probs[3]	neo_matrix_probs[4]	rate_log_sd	tree_length	two_matrix_probs[1]	two_matrix_probs[2]	two_matrix_probs[3]	two_matrix_probs[4]
0	-120.6315	-387.4474	266.8159	1.333806	0.399772	0.229788	0.32622	0.044221	1.404577	2.721392	0.776478	0.119917	0.0693054	0.0342992
6	-114.6936	-377.8932	263.1995	8.665516	0.191003	0.151309	0.287372	0.370316	1.344246	2.810664	0.711922	0.193087	0.0635434	0.0314476
12	-123.6566	-387.5272	263.8706	8.979114	0.470191	0.11127	0.0998087	0.31873	1.865797	1.997865	0.470543	0.31818	0.134634	0.0766425
18	-107.624	-376.5328	268.9088	1.089528	0.482528	0.292218	0.167621	0.0576332	1.624525	1.316856	0.415957	0.442961	0.0899032	0.0511788
24	-118.3315	-385.3252	266.9937	2.404982	0.404743	0.245111	0.0798468	0.270299	2.21301	1.516778	0.309967	0.313305	0.262292	0.114435
30	-114.2612	-377.142	262.8808	11.43156	0.0378543	0.452917	0.354526	0.154702	1.960333	2.16157	0.481995	0.353658	0.0465321	0.117815
36	-117.6761	-379.564	261.8879	6.470338	0.0310356	0.551464	0.290665	0.126836	1.149627	4.113305	0.298641	0.338016	0.185814	0.177529
42	-107.6014	-369.2549	261.6535	6.4332	0.0294927	0.719239	0.0858452	0.165424	1.46107	4.077122	0.609055	0.289707	0.049047	0.0521907
48	-104.7448	-370.1352	265.3904	1.279599	0.0563953	0.21891	0.30294	0.421754	1.506598	3.539304	0.473721	0.447854	0.0498036	0.0286206
54	-108.2969	-373.2473	264.9505	2.427082	0.310566	0.0994343	0.122261	0.467738	1.273536	3.40497	0.0580052	0.931633	0.00836157	0.00200017
60	-108.8426	-375.6689	266.8263	2.404992	0.313413	0.0675332	0.597335	0.0217184	1.815586	1.91602	0.389308	0.290961	0.316973	0.00275729
66	-90.18186	-358.8607	268.6788	0.8280195	0.143946	0.306929	0.489394	0.0597305	1.643109	1.674965	0.132415	0.588856	0.277014	0.0017153
72	-107.5044	-372.4858	264.9814	5.900392	0.287071	0.0545204	0.332135	0.326274	1.90555	1.912656	0.0175643	0.213968	0.766615	0.00185315
78	-97.36531	-363.2801	265.9148	4.340477	0.150497	0.00603448	0.286834	0.556634	1.639937	1.912656	0.160972	0.565622	0.268049	0.00535676
84	-105.5225	-373.497	267.9745	1.613225	0.365926	0.0270704	0.59302	0.0139839	1.906675	1.457253	0.0754503	0.263336	0.641291	0.0199224
90	-100.9913	-368.8566	267.8653	1.679921	0.226722	0.0411103	0.710931	0.0212365	1.698382	1.650766	0.371763	0.445639	0.162003	0.0205941
96	-104.3783	-367.6515	263.2731	2.95266	0.555026	0.10064	0.0761582	0.268176	1.01776	4.322932	0.105953	0.633199	0.0316943	0.229154
102	-109.4845	-372.8417	263.3571	2.191206	0.544164	0.0185498	0.150251	0.287035	0.9935827	4.570911	0.796165	0.16653	0.00867408	0.0286307
108	-116.2393	-380.8593	264.6201	4.144887	0.342224	0.0557681	0.362824	0.239184	0.9698666	3.199491	0.289104	0.326998	0.236313	0.147585
114	-119.1272	-385.0827	265.9555	1.301377	0.492482	0.0816923	0.282039	0.143787	0.8091006	3.604641	0.152571	0.491249	0.139346	0.216834
120	-113.8777	-380.0683	266.1906	3.033643	0.342423	0.0337258	0.398302	0.22555	1.099697	2.531392	0.287107	0.106963	0.424652	0.181279
126	-99.66474	-366.8403	267.1756	1.367459	0.679431	0.0249507	0.0471766	0.248442	1.043896	2.703416	0.57371	0.0862903	0.1226	0.2174
132	-102.9395	-370.6688	267.7293	1.076172	0.28048	0.157094	0.278424	0.284002	0.8997571	2.619385	0.227127	0.505225	0.240114	0.0275343
138	-93.42695	-359.6303	266.2034	2.241721	0.117409	0.36302	0.505431	0.0141399	1.457676	2.619385	0.227079	0.505331	0.240062	0.0275284
144	-103.0078	-367.0447	264.037	7.95573	0.393472	0.207414	0.385809	0.0133056	1.790036	2.141298	0.217442	0.152483	0.546456	0.0836183
150	-127.1625	-390.5812	263.4187	11.15026	0.0405229	0.419321	0.523044	0.017112	1.577707	2.105014	0.295682	0.017822	0.57279	0.113706
156	-119.3546	-385.6662	266.3116	5.121793	0.444029	0.217586	0.178706	0.159678	1.546508	1.445067	0.344221	0.0390217	0.388327	0.22843
